,Company_tic,enterpriseToRevenue,profitMargins,enterpriseToEbitda,52WeekChange,forwardEps,bookValue,lastFiscalYearEnd,netIncomeToCommon,trailingEps,SandP52WeekChange,priceToBook,nextFiscalYearEnd,mostRecentQuarter,enterpriseValue,priceHint,pegRatio,ytdReturn,forwardPE
63,GREE,17.507,0.09317,60.009,0.6599176,NA,3.282,1609372800,3036000,0.107,0.27952945,7.708714,1672444800,1625011200,692201792,2,NA,NA,NA
64,HRTX,12.166,-2.81989,-4.515,-0.27789187,-1.64,1.572,1609372800,-234138000,-2.519,0.27952945,6.5839696,1672444800,1625011200,1010139712,2,-0.1,NA,-6.310976
65,IFUS,604.584,0.0,-15.337,14.0,NA,-0.004,1285804800,-1005940,-0.012,0.27952945,NA,1348963200,1285804800,5981152,4,NA,NA,NA
66,OPRA,3.916,1.11465,132.001,-0.06392199,0.68,9.52,1609372800,81985000,1.964,0.27952945,0.9212185,1672444800,1625011200,800323264,2,0.26,NA,12.897059
67,PIPR,0.949,0.10508,NA,0.881147,14.28,66.82,1609372800,173056992,10.581,0.27952945,2.2276266,1672444800,1625011200,1563245952,2,0.81,NA,10.42367
68,SAGE,0.645,0.59795,1.078,-0.30832815,-6.26,32.831,1609372800,666150976,11.835,0.27952945,1.361975,1672444800,1625011200,718281536,2,-0.16,NA,-7.142971
69,SGMA,0.292,0.037100002,6.7,1.647975,NA,16.193,1619740800,11238401,2.596,0.27952945,0.53541654,1682812800,1627689600,88540048,2,NA,NA,NA
70,SOHO,5.787,-0.35345,110.582,0.43575418,-0.28,-4.067,1609372800,-38376492,-2.639,0.27952945,NA,1672444800,1625011200,497282464,4,NA,NA,-9.182143
71,STRM,6.019,-0.38867,-10.272,0.21126759,-0.15,0.754,1612051200,-5193000,-0.127,0.27952945,2.2944298,1675123200,1627689600,68819864,4,-0.76,NA,-11.533333
72,TERA,1.901,-1.28931,-2.144,3.0,NA,-0.065,1104451200,-6649000,-0.053,0.27952945,NA,1167523200,1112227200,9805134,4,NA,NA,NA
73,TRCK,1.836,0.15951,6.996,5.8378377,0.27,0.338,1601424000,6126747,0.517,0.27952945,7.485207,1664496000,1625011200,70532112,4,NA,NA,NA
74,TRUX,2.903,0.39721,NA,0.326087,NA,27.353,1609372800,12431000,4.387,0.27952945,2.2301028,1672444800,1625011200,92749800,2,NA,NA,NA
75,VIRT,0.34,0.20196,NA,0.06868601,2.68,13.32,1609372800,516598016,4.204,0.27952945,1.8671172,1672444800,1625011200,894854272,2,-2.27,NA,9.279851
76,XCUR,21.569,0.0,-1.693,-0.21875,-0.6,0.416,1609372800,-48253000,-0.551,0.27952945,2.8725963,1672444800,1625011200,78922680,4,NA,NA,-1.9916667
77,HSTC,NA,0.0,NA,0.35000002,NA,-0.044,1609372800,-207748,-0.039,0.27952945,NA,1672444800,1625011200,754213,4,NA,NA,NA
